month_end,raw_close_usd,ttm_dividend_usd,ttm_yield_pct,latest_dividend_usd
2013-08-30,94.36000061,3.08000000,3.26409493,0.77000000
2013-09-30,96.20999908,3.08000000,3.20133045,0.77000000
2013-10-31,96.51999664,3.08000000,3.19104860,0.77000000
2013-11-29,97.37000275,3.12000000,3.20427227,0.81000000
2013-12-31,97.02999878,3.12000000,3.21550040,0.81000000
2014-01-31,94.16999817,3.12000000,3.31315712,0.81000000
2014-02-28,95.15000153,3.16000000,3.32107194,0.81000000
2014-03-31,98.02999878,3.16000000,3.22350305,0.81000000
2014-04-30,101.37999725,3.16000000,3.11698568,0.81000000
2014-05-30,101.43000031,3.20000000,3.15488513,0.81000000
2014-06-30,100.73999786,3.20000000,3.17649401,0.81000000
2014-07-31,94.55999756,3.20000000,3.38409484,0.81000000
2014-08-29,93.72000122,3.24000000,3.45710623,0.81000000
2014-09-30,94.80999756,3.24000000,3.41736113,0.81000000
2014-10-31,93.73000336,3.24000000,3.45673731,0.81000000
2014-11-28,96.80999756,3.28000000,3.38807983,0.85000000
2014-12-31,93.69999695,3.28000000,3.50053373,0.85000000
2015-01-30,92.44000244,3.28000000,3.54824742,0.85000000
2015-02-27,98.90000153,3.32000000,3.35692614,0.85000000
2015-03-31,97.44000244,3.32000000,3.40722487,0.85000000
2015-04-30,96.55000305,3.32000000,3.43863272,0.85000000
2015-05-29,95.93000031,3.36000000,3.50255393,0.85000000
2015-06-30,95.06999969,3.36000000,3.53423794,0.85000000
2015-07-31,99.86000061,3.36000000,3.36471057,0.85000000
2015-08-31,95.01999664,3.40000000,3.57819419,0.85000000
2015-09-30,98.52999878,3.40000000,3.45072571,0.85000000
2015-10-30,112.25000000,3.40000000,3.02895323,0.85000000
2015-11-30,114.16000366,3.44000000,3.01331455,0.89000000
2015-12-31,118.13999939,3.44000000,2.91179957,0.89000000
2016-01-29,123.77999878,3.44000000,2.77912428,0.89000000
2016-02-29,117.19000244,3.48000000,2.96953659,0.89000000
2016-03-31,125.68000031,3.48000000,2.76893698,0.89000000
2016-04-29,126.48999786,3.48000000,2.75120568,0.89000000
2016-05-31,122.05999756,3.48000000,2.85105691,0.89000000
2016-06-30,120.33999634,3.52000000,2.92504579,0.89000000
2016-07-29,117.65000153,3.52000000,2.99192516,0.89000000
2016-08-31,115.66000366,3.56000000,3.07798711,0.89000000
2016-09-30,115.36000061,3.56000000,3.08599166,0.89000000
2016-10-31,112.56999969,3.56000000,3.16247669,0.89000000
2016-11-30,119.26999664,3.61000000,3.02674612,0.94000000
2016-12-30,121.72000122,3.61000000,2.96582317,0.94000000
2017-01-31,122.56999969,3.61000000,2.94525578,0.94000000
2017-02-28,127.65000153,3.66000000,2.86721501,0.94000000
2017-03-31,129.61000061,3.66000000,2.82385617,0.94000000
2017-04-28,139.92999268,3.66000000,2.61559365,0.94000000
2017-05-31,150.88999939,3.66000000,2.42560807,0.94000000
2017-06-30,153.16000366,3.71000000,2.42230342,0.94000000
2017-07-31,155.13999939,3.71000000,2.39138843,0.94000000
2017-08-31,159.97000122,3.76000000,2.35044069,0.94000000
2017-09-29,156.67999268,3.76000000,2.39979587,0.94000000
2017-10-31,166.91000366,3.76000000,2.25271099,0.94000000
2017-11-30,171.97000122,3.83000000,2.22713262,1.01000000
2017-12-29,172.11999512,3.83000000,2.22519179,1.01000000
2018-01-31,171.13999939,3.83000000,2.23793386,1.01000000
2018-02-28,157.74000549,3.90000000,2.47242289,1.01000000
2018-03-29,156.38000488,3.90000000,2.49392498,1.01000000
2018-04-30,167.44000244,3.90000000,2.32919251,1.01000000
2018-05-31,160.00999451,3.90000000,2.43734775,1.01000000
2018-06-29,156.69000244,3.97000000,2.53366516,1.01000000
2018-07-31,157.53999329,3.97000000,2.51999503,1.01000000
2018-08-31,162.22999573,4.04000000,2.49029163,1.01000000
2018-09-28,167.28999329,4.04000000,2.41496812,1.01000000
2018-10-31,176.89999390,4.04000000,2.28377622,1.01000000
2018-11-30,188.50999451,4.19000000,2.22269382,1.16000000
2018-12-31,177.57000732,4.19000000,2.35963272,1.16000000
2019-01-31,178.77999878,4.19000000,2.34366262,1.16000000
2019-02-28,183.83999634,4.34000000,2.36074852,1.16000000
2019-03-29,189.89999390,4.34000000,2.28541345,1.16000000
2019-04-30,197.57000732,4.34000000,2.19668970,1.16000000
2019-05-31,198.27000427,4.49000000,2.26458864,1.16000000
2019-06-28,207.66000366,4.49000000,2.16218815,1.16000000
2019-07-31,210.72000122,4.49000000,2.13078966,1.16000000
2019-08-30,217.97000122,4.64000000,2.12873330,1.16000000
2019-09-30,214.71000671,4.64000000,2.16105438,1.16000000
2019-10-31,196.69999695,4.64000000,2.35892225,1.16000000
2019-11-29,194.47999573,4.73000000,2.43212675,1.25000000
2019-12-31,197.61000061,4.73000000,2.39360356,1.25000000
2020-01-31,213.97000122,4.73000000,2.21059026,1.25000000
2020-02-28,194.16999817,4.82000000,2.48236084,1.25000000
2020-03-31,165.35000610,4.82000000,2.91502862,1.25000000
2020-04-30,187.55999756,4.82000000,2.56984435,1.25000000
2020-05-29,186.32000732,4.91000000,2.63525108,1.25000000
2020-06-30,184.47000122,4.91000000,2.66167939,1.25000000
2020-07-31,194.27999878,4.91000000,2.52728023,1.25000000
2020-08-31,213.52000427,5.00000000,2.34170096,1.25000000
2020-09-30,219.49000549,5.00000000,2.27800805,1.25000000
2020-10-30,213.00000000,5.00000000,2.34741784,1.25000000
2020-11-30,217.44000244,5.04000000,2.31788077,1.29000000
2020-12-31,214.58000183,5.04000000,2.34877433,1.29000000
2021-01-29,207.83999634,5.04000000,2.42494231,1.29000000
2021-02-26,206.13999939,5.08000000,2.46434463,1.29000000
2021-03-31,224.13999939,5.08000000,2.26644062,1.29000000
2021-04-30,236.08000183,5.08000000,2.15181293,1.29000000
2021-05-28,233.88999939,5.12000000,2.18906324,1.29000000
2021-06-30,230.99000549,5.12000000,2.21654612,1.29000000
2021-07-30,242.71000671,5.12000000,2.10951335,1.29000000
2021-08-31,237.46000671,5.16000000,2.17299750,1.29000000
2021-09-30,241.11000061,5.16000000,2.14010202,1.29000000
2021-10-29,245.55000305,5.16000000,2.10140498,1.29000000
2021-11-30,244.60000610,5.25000000,2.14636135,1.38000000
2021-12-31,268.07000732,5.25000000,1.95844364,1.38000000
2022-01-31,259.45001221,5.25000000,2.02351118,1.38000000
2022-02-28,244.77000427,5.34000000,2.18163987,1.38000000
2022-03-31,247.27999878,5.34000000,2.15949532,1.38000000
2022-04-29,249.16000366,5.34000000,2.14320112,1.38000000
2022-05-31,252.21000671,5.34000000,2.11728316,1.38000000
2022-06-30,246.88000488,5.43000000,2.19944908,1.38000000
2022-07-29,263.36999512,5.43000000,2.06173828,1.38000000
2022-08-31,252.27999878,5.52000000,2.18804504,1.38000000
2022-09-30,230.74000549,5.52000000,2.39230297,1.38000000
2022-10-31,272.66000366,5.52000000,2.02449935,1.38000000
2022-11-30,272.79000854,5.66000000,2.07485605,1.52000000
2022-12-30,263.52999878,5.66000000,2.14776307,1.52000000
2023-01-31,267.39999390,5.66000000,2.11667918,1.52000000
2023-02-28,263.91000366,5.80000000,2.19771889,1.52000000
2023-03-31,279.60998535,5.80000000,2.07431791,1.52000000
2023-04-28,295.75000000,5.80000000,1.96111581,1.52000000
2023-05-31,285.10998535,5.80000000,2.03430265,1.52000000
2023-06-30,298.41000366,5.94000000,1.99054989,1.52000000
