week_anchor_utc,MCD,SPY,QQQ
2022-06-13,213.60961914,346.80575562,267.55047607
2022-06-20,225.93150330,369.76428223,287.50436401
2022-06-27,230.54312134,361.38479614,275.32531738
2022-07-04,230.79827881,368.42776489,288.22656250
2022-07-11,232.41142273,365.07214355,284.83041382
2022-07-18,231.48185730,374.51342773,294.70635986
2022-07-25,240.03053284,390.53323364,307.85147095
2022-08-01,236.25750732,391.93615723,313.98980713
2022-08-08,238.94601440,404.85632324,322.42138672
2022-08-15,242.91966248,400.15460205,315.07302856
2022-08-22,234.17956543,384.20111084,300.02487183
2022-08-29,233.22543335,371.81182861,288.05084229
2022-09-05,237.81645203,385.42395020,299.68334961
2022-09-12,233.59193420,366.98107910,282.34194946
2022-09-19,225.38130188,350.21966553,269.34823608
2022-09-26,211.44329834,339.96862793,261.28268433
2022-10-03,213.68840027,345.30831909,263.08148193
2022-10-10,222.82464600,340.39697266,254.90850830
2022-10-17,233.26206970,356.25418091,269.26019287
2022-10-24,251.56201172,370.27441406,274.93048096
2022-10-31,251.65364075,358.21487427,258.76040649
2022-11-07,248.69377136,379.30703735,281.51974487
2022-11-14,250.50814819,376.94662476,278.44995117
2022-11-21,252.00186157,382.94296265,280.50305176
2022-11-28,251.94667053,387.30227661,286.00704956
2022-12-05,250.69340515,374.32904053,275.73205566
2022-12-12,245.23789978,366.47653198,268.11633301
2022-12-19,246.57411194,366.13241577,262.00619507
2022-12-26,242.85116577,365.67337036,260.94784546
2023-01-02,248.32504272,371.07583618,263.41738892
2023-01-09,247.79058838,381.03924561,275.34375000
2023-01-16,247.50486755,378.53411865,277.01937866
2023-01-23,251.08041382,387.90469360,290.32754517
2023-01-30,243.49627686,394.28247070,300.04882812
2023-02-06,241.82829285,390.16131592,293.69857788
2023-02-13,248.80424500,389.41543579,295.12939453
2023-02-20,242.98936462,379.01220703,286.00588989
2023-02-27,249.38807678,386.47998047,293.67895508
2023-03-06,242.86300659,369.00094604,282.77191162
2023-03-13,247.65487671,374.32531738,299.24530029
2023-03-20,251.48277283,379.85400391,305.13623047
2023-03-27,259.15707397,392.94613647,314.99041748
2023-04-03,262.19720459,392.75411987,312.16372681
2023-04-10,267.84170532,395.89282227,312.67404175
2023-04-17,270.69638062,395.64324951,310.75033569
2023-04-24,274.11651611,399.22344971,316.59020996
2023-05-01,274.90438843,396.05599976,316.91409302
2023-05-08,274.47796631,395.05783081,319.01449585
2023-05-15,273.93109131,401.80535889,330.28204346
2023-05-22,265.11676025,403.14913940,341.95199585
2023-05-29,270.12997437,410.73178101,348.08633423
2023-06-05,267.22286987,412.63229370,347.93908691
2023-06-12,273.66143799,423.37512207,361.12054443
2023-06-19,270.12997437,417.35388184,356.31845093
2023-06-26,278.05007935,427.05529785,363.08035278
2023-07-03,272.17059326,422.49844360,359.95492554
2023-07-10,274.81683350,432.83572388,372.56472778
2023-07-17,275.44110107,435.62960815,369.18383789
2023-07-24,273.96887207,440.19607544,376.89901733
2023-07-31,267.43719482,430.45614624,365.65542603
2023-08-07,268.92797852,429.33859253,359.95492554
2023-08-14,262.51739502,420.52346802,351.98410034
2023-08-21,265.16366577,423.86651611,357.77294922
2023-08-28,263.17938232,434.67581177,371.11013794
2023-09-04,261.56808472,429.21334839,366.18612671
2023-09-11,260.64068604,428.64868164,364.44644165
2023-09-18,255.01065063,416.12869263,352.27706909
2023-09-25,246.78573608,413.28631592,352.63140869
2023-10-02,232.52786255,415.27792358,358.96020508
2023-10-09,232.61221313,417.17285156,359.53109741
2023-10-16,241.79266357,407.20516968,349.01916504
2023-10-23,239.59121704,397.04406738,339.87539673
2023-10-30,250.93563843,420.25692749,361.92279053
2023-11-06,250.86070251,425.98031616,372.43475342
2023-11-13,258.31747437,435.82238770,379.96435547
2023-11-20,264.67828369,440.18258667,383.37976074
2023-11-27,269.48715210,443.85647583,383.80297852
2023-12-04,269.08193970,444.91989136,385.99789429
2023-12-11,270.72167969,455.58645630,398.96060181
2023-12-18,274.89651489,459.77993774,402.75567627
2023-12-25,279.42941284,461.39132690,404.09231567
2024-01-01,272.34259033,454.21774292,391.49160767
2024-01-08,276.56451416,462.72119141,404.13177490
2024-01-15,283.21783447,468.30282593,415.59777832
2024-01-22,275.42425537,473.13702393,418.19290161
2024-01-29,279.93832397,479.87377930,423.32406616
2024-02-05,272.79489136,486.52322388,431.25744629
2024-02-12,275.19802856,484.88265991,424.86337280
2024-02-19,280.59796143,492.97839355,430.99105835
2024-02-26,275.54116821,497.83203125,439.70401001
2024-03-04,277.26614380,496.73513794,433.20138550
2024-03-11,264.55670166,496.43811035,428.16894531
2024-03-18,267.86434937,507.51922607,441.04623413
2024-03-25,267.21990967,509.33035278,438.70458984
2024-04-01,252.75714111,504.81222534,435.20684814
2024-04-08,253.42057800,497.43136597,433.03317261
2024-04-15,257.78024292,482.15350342,409.69534302
2024-04-22,258.82278442,494.90939331,425.85000610
2024-04-29,256.19750977,497.85980225,430.27642822
2024-05-06,260.63299561,507.15899658,436.77783203
2024-05-13,258.14987183,515.54278564,446.36193848
2024-05-20,244.62539673,515.53302002,452.47796631
2024-05-27,245.36463928,513.51739502,445.32446289
2024-06-03,244.40118408,519.98303223,457.42810059
2024-06-10,241.89239502,528.52258301,473.46420288
2024-06-17,247.43464661,531.91772461,474.44232178
2024-06-24,243.09431458,531.63439941,474.13751221
2024-07-01,239.51715088,541.81347656,491.01062012
2024-07-08,242.19766235,547.03967285,489.68453979
2024-07-15,245.42184448,536.29406738,470.30767822
2024-07-22,240.38522339,531.84924316,458.16506958
2024-07-29,263.93725586,520.57623291,444.09268188
2024-08-05,255.56195068,520.66394043,445.73541260
2024-08-12,265.65426636,541.49102783,470.09991455
2024-08-19,276.17593384,549.13018799,475.01831055
2024-08-26,275.35556030,550.64434814,471.32702637
2024-09-02,277.77340698,527.86358643,444.03329468
2024-09-09,284.50885010,549.01300049,470.40670776
2024-09-16,284.79663086,556.81134033,477.43301392
2024-09-23,291.37854004,559.96643066,482.37518311
2024-09-30,291.44573975,561.44610596,482.94003296
2024-10-07,292.67382812,567.91326904,488.92575073
2024-10-14,303.72680664,572.82244873,490.02578735
2024-10-21,280.74771118,567.38415527,490.86816406
2024-10-28,283.24230957,559.54516602,483.04907227
2024-11-04,286.84991455,586.14862061,509.51907349
2024-11-11,280.76690674,573.95904541,492.10690308
2024-11-18,278.51217651,583.52258301,501.24407959
2024-11-25,284.00985718,590.42083740,505.15853882
2024-12-02,288.58514404,595.57501221,521.74804688
2024-12-09,286.28784180,592.04748535,525.76177979
2024-12-16,282.50408936,581.19995117,513.99835205
2024-12-23,283.41140747,584.99493408,518.69830322
2024-12-30,284.53112793,581.98651123,514.74780273
2025-01-06,272.49465942,570.71936035,503.44195557
2025-01-13,271.18197632,587.52172852,517.88446045
2025-01-20,275.53512573,597.73681641,525.71618652
2025-01-27,278.66253662,591.69030762,518.43035889
2025-02-03,284.06784058,590.65808105,519.05578613
2025-02-10,297.82235718,599.43768311,534.17315674
2025-02-17,294.21237183,589.84197998,522.19238281
2025-02-24,297.61001587,584.17889404,504.41473389
2025-03-03,311.90997314,566.22631836,488.15576172
2025-03-10,291.07647705,553.33691406,476.11541748
2025-03-17,296.52270508,556.15521240,477.28665161
2025-03-24,298.12451172,547.95074463,466.16876221
2025-03-31,291.34832764,498.26968384,420.17221069
2025-04-07,300.85247803,526.53210449,451.71466064
2025-04-14,302.21160889,519.10650635,441.47558594
2025-04-21,307.49279785,543.00030518,469.76739502
2025-04-28,302.85232544,558.89666748,485.94122314
2025-05-05,304.52212524,556.51025391,485.08630371
2025-05-12,309.30816650,585.95593262,518.42816162
2025-05-19,305.38613892,571.07525635,506.23062134
2025-05-26,304.68719482,581.21276855,516.04229736
2025-06-02,300.07894897,590.82751465,526.78833008
2025-06-09,294.75808716,588.71716309,523.84588623
2025-06-16,280.65036011,587.76739502,523.71667480
2025-06-23,284.64349365,608.17132568,545.46295166
2025-06-30,287.11355591,618.48699951,553.55395508
2025-07-07,292.80548096,616.78582764,551.54364014
2025-07-14,290.03274536,620.70239258,558.56982422
2025-07-21,291.39953613,630.11804199,563.65533447
2025-07-28,295.71487427,614.90661621,551.22515869
2025-08-04,298.21423340,630.19726562,571.79608154
2025-08-11,301.61178589,636.38867188,574.57275391
2025-08-18,306.63003540,638.23809814,569.22845459
2025-08-25,306.11260986,637.98095703,567.66601562
2025-09-01,308.67520142,640.14697266,573.29882812
2025-09-08,299.85815430,650.20544434,583.84802246
2025-09-15,296.89297485,658.24652100,596.47729492
2025-09-22,299.70104980,656.38201904,593.80096436
2025-09-29,295.51840210,663.71124268,600.98480225
2025-10-06,291.62042236,647.65423584,587.35455322
2025-10-13,302.49932861,658.93084717,601.73205566
2025-10-20,300.24108887,671.68518066,614.85406494
2025-10-27,293.01464844,676.45556641,626.78057861
2025-11-03,294.22235107,665.45672607,607.52087402
2025-11-10,301.45858765,666.40887451,606.64410400
2025-11-17,303.73648071,653.61492920,587.92248535
2025-11-24,306.16165161,677.77471924,616.99633789
2025-12-01,307.41613770,680.05578613,623.20367432
2025-12-08,312.83883667,676.15814209,611.38677979
2025-12-15,311.96963501,676.99230957,614.80432129
2025-12-22,306.87283325,686.66088867,622.42028809
2025-12-29,299.54379272,679.55859375,611.67572021
2026-01-05,303.55404663,690.40100098,625.17382812
2026-01-12,303.66268921,688.00372314,619.79650879
2026-01-19,305.46035767,685.58654785,621.25305176
2026-01-26,311.13992310,688.31207275,620.40509033
2026-02-02,323.15090942,686.96923828,608.21386719
2026-02-09,323.56576538,678.14611816,600.50207520
2026-02-16,325.19552612,685.78558350,607.37585449
2026-02-23,336.88058472,682.36370850,605.85937500
2026-03-02,325.85003662,668.82568359,598.33715820
2026-03-09,324.26080322,658.78900146,592.32135010
2026-03-16,306.76943970,646.90344238,580.68884277
2026-03-23,303.83932495,632.46063232,561.96246338
2026-03-30,305.07098389,654.14477539,584.33782959
2026-04-06,303.62078857,677.71405029,610.39923096
2026-04-13,309.26251221,708.31524658,648.13769531
2026-04-20,297.34335327,712.10546875,663.15124512
2026-04-27,284.70907593,718.79821777,673.40997314
2026-05-04,273.89242554,735.72460938,710.44921875
2026-05-11,274.52813721,737.27062988,708.15179443
2026-05-18,280.36849976,743.72399902,716.75231934
2026-05-25,277.31918335,754.53613281,737.49951172
2026-06-01,279.83999634,735.65478516,704.28601074
2026-06-08,284.80999756,739.84399414,720.54815674
2026-06-15,278.60998535,746.73999023,739.80700684
2026-06-22,269.76000977,728.98999023,706.52001953
2026-06-29,280.63000488,744.78002930,712.59997559
2026-07-06,274.60000610,754.95001221,725.51000977
2026-07-13,267.70999146,743.28997803,695.33001709
2026-07-20,264.76000977,738.92999268,684.22998047
2026-07-27,270.64001465,747.03002930,687.98999023
2026-08-03,274.48001099,773.26000977,723.03002930
2026-08-10,272.82998657,776.34002686,731.07000732
2026-08-17,270.95001221,765.71997070,713.44000244
2026-08-24,260.05999756,771.09997559,721.10998535
